"Label (Grouping)","Allegan County, Michigan!!Estimate","Allegan County, Michigan!!Margin of Error","Allegan County, Michigan!!Percent","Allegan County, Michigan!!Percent Margin of Error","Bay County, Michigan!!Estimate","Bay County, Michigan!!Margin of Error","Bay County, Michigan!!Percent","Bay County, Michigan!!Percent Margin of Error","Berrien County, Michigan!!Estimate","Berrien County, Michigan!!Margin of Error","Berrien County, Michigan!!Percent","Berrien County, Michigan!!Percent Margin of Error","Calhoun County, Michigan!!Estimate","Calhoun County, Michigan!!Margin of Error","Calhoun County, Michigan!!Percent","Calhoun County, Michigan!!Percent Margin of Error","Clinton County, Michigan!!Estimate","Clinton County, Michigan!!Margin of Error","Clinton County, Michigan!!Percent","Clinton County, Michigan!!Percent Margin of Error","Eaton County, Michigan!!Estimate","Eaton County, Michigan!!Margin of Error","Eaton County, Michigan!!Percent","Eaton County, Michigan!!Percent Margin of Error","Genesee County, Michigan!!Estimate","Genesee County, Michigan!!Margin of Error","Genesee County, Michigan!!Percent","Genesee County, Michigan!!Percent Margin of Error","Grand Traverse County, Michigan!!Estimate","Grand Traverse County, Michigan!!Margin of Error","Grand Traverse County, Michigan!!Percent","Grand Traverse County, Michigan!!Percent Margin of Error","Ingham County, Michigan!!Estimate","Ingham County, Michigan!!Margin of Error","Ingham County, Michigan!!Percent","Ingham County, Michigan!!Percent Margin of Error","Isabella County, Michigan!!Estimate","Isabella County, Michigan!!Margin of Error","Isabella County, Michigan!!Percent","Isabella County, Michigan!!Percent Margin of Error","Jackson County, Michigan!!Estimate","Jackson County, Michigan!!Margin of Error","Jackson County, Michigan!!Percent","Jackson County, Michigan!!Percent Margin of Error","Kalamazoo County, Michigan!!Estimate","Kalamazoo County, Michigan!!Margin of Error","Kalamazoo County, Michigan!!Percent","Kalamazoo County, Michigan!!Percent Margin of Error","Kent County, Michigan!!Estimate","Kent County, Michigan!!Margin of Error","Kent County, Michigan!!Percent","Kent County, Michigan!!Percent Margin of Error","Lapeer County, Michigan!!Estimate","Lapeer County, Michigan!!Margin of Error","Lapeer County, Michigan!!Percent","Lapeer County, Michigan!!Percent Margin of Error","Lenawee County, Michigan!!Estimate","Lenawee County, Michigan!!Margin of Error","Lenawee County, Michigan!!Percent","Lenawee County, Michigan!!Percent Margin of Error","Livingston County, Michigan!!Estimate","Livingston County, Michigan!!Margin of Error","Livingston County, Michigan!!Percent","Livingston County, Michigan!!Percent Margin of Error","Macomb County, Michigan!!Estimate","Macomb County, Michigan!!Margin of Error","Macomb County, Michigan!!Percent","Macomb County, Michigan!!Percent Margin of Error","Marquette County, Michigan!!Estimate","Marquette County, Michigan!!Margin of Error","Marquette County, Michigan!!Percent","Marquette County, Michigan!!Percent Margin of Error","Midland County, Michigan!!Estimate","Midland County, Michigan!!Margin of Error","Midland County, Michigan!!Percent","Midland County, Michigan!!Percent Margin of Error","Monroe County, Michigan!!Estimate","Monroe County, Michigan!!Margin of Error","Monroe County, Michigan!!Percent","Monroe County, Michigan!!Percent Margin of Error","Muskegon County, Michigan!!Estimate","Muskegon County, Michigan!!Margin of Error","Muskegon County, Michigan!!Percent","Muskegon County, Michigan!!Percent Margin of Error","Oakland County, Michigan!!Estimate","Oakland County, Michigan!!Margin of Error","Oakland County, Michigan!!Percent","Oakland County, Michigan!!Percent Margin of Error","Ottawa County, Michigan!!Estimate","Ottawa County, Michigan!!Margin of Error","Ottawa County, Michigan!!Percent","Ottawa County, Michigan!!Percent Margin of Error","Saginaw County, Michigan!!Estimate","Saginaw County, Michigan!!Margin of Error","Saginaw County, Michigan!!Percent","Saginaw County, Michigan!!Percent Margin of Error","St. Clair County, Michigan!!Estimate","St. Clair County, Michigan!!Margin of Error","St. Clair County, Michigan!!Percent","St. Clair County, Michigan!!Percent Margin of Error","Shiawassee County, Michigan!!Estimate","Shiawassee County, Michigan!!Margin of Error","Shiawassee County, Michigan!!Percent","Shiawassee County, Michigan!!Percent Margin of Error","Van Buren County, Michigan!!Estimate","Van Buren County, Michigan!!Margin of Error","Van Buren County, Michigan!!Percent","Van Buren County, Michigan!!Percent Margin of Error","Washtenaw County, Michigan!!Estimate","Washtenaw County, Michigan!!Margin of Error","Washtenaw County, Michigan!!Percent","Washtenaw County, Michigan!!Percent Margin of Error","Wayne County, Michigan!!Estimate","Wayne County, Michigan!!Margin of Error","Wayne County, Michigan!!Percent","Wayne County, Michigan!!Percent Margin of Error"
"        $800 to $999","758","±360","5.5%","±2.5","506","±267","3.2%","±1.7","1,442","±585","7.7%","±3.0","442","±205","2.8%","±1.3","858","±337","8.9%","±3.5","452","±308","4.0%","±2.6","2,658","±635","5.0%","±1.2","842","±334","8.7%","±3.5","2,319","±565","9.1%","±2.1","370","±189","5.5%","±2.8","643","±321","3.7%","±1.7","1,657","±650","7.0%","±2.6","4,686","±1,045","7.3%","±1.6","593","±335","6.3%","±3.5","463","±254","3.9%","±2.1","2,149","±514","11.7%","±2.8","7,577","±1,334","8.1%","±1.4","289","±190","3.0%","±2.0","879","±368","7.5%","±3.1","536","±284","3.0%","±1.6","288","±190","1.4%","±1.0","16,211","±1,577","13.4%","±1.3","1,065","±399","3.7%","±1.4","1,075","±436","4.0%","±1.6","1,171","±407","5.7%","±1.9","671","±521","8.2%","±6.0","629","±305","7.1%","±3.5","5,578","±738","17.4%","±2.2","15,955","±1,677","7.6%","±0.8"
"        $1,000 or more","851","±417","6.2%","±3.0","209","±171","1.3%","±1.1","1,014","±402","5.4%","±2.1","560","±267","3.5%","±1.6","545","±295","5.7%","±3.1","354","±246","3.1%","±2.2","1,438","±471","2.7%","±0.9","449","±272","4.6%","±2.8","2,310","±679","9.1%","±2.4","155","±112","2.3%","±1.7","578","±319","3.3%","±1.8","1,467","±448","6.2%","±1.9","4,323","±1,036","6.7%","±1.5","341","±252","3.6%","±2.7","386","±212","3.2%","±1.8","1,838","±520","10.0%","±2.6","4,164","±1,006","4.5%","±1.0","362","±219","3.8%","±2.3","615","±285","5.2%","±2.5","647","±268","3.7%","±1.5","430","±173","2.1%","±0.8","18,895","±1,745","15.7%","±1.4","1,211","±413","4.2%","±1.4","664","±345","2.5%","±1.2","908","±425","4.4%","±2.1","140","±99","1.7%","±1.2","346","±234","3.9%","±2.6","6,709","±1,038","20.9%","±2.9","11,900","±1,437","5.7%","±0.6"
"        Median (dollars)","474","±23","(X)","(X)","456","±19","(X)","(X)","445","±18","(X)","(X)","451","±24","(X)","(X)","511","±30","(X)","(X)","511","±31","(X)","(X)","462","±12","(X)","(X)","492","±45","(X)","(X)","522","±35","(X)","(X)","431","±26","(X)","(X)","450","±18","(X)","(X)","504","±25","(X)","(X)","481","±12","(X)","(X)","473","±33","(X)","(X)","470","±25","(X)","(X)","577","±26","(X)","(X)","537","±11","(X)","(X)","444","±25","(X)","(X)","493","±27","(X)","(X)","473","±23","(X)","(X)","422","±24","(X)","(X)","637","±14","(X)","(X)","489","±18","(X)","(X)","452","±17","(X)","(X)","484","±19","(X)","(X)","449","±33","(X)","(X)","441","±31","(X)","(X)","721","±23","(X)","(X)","494","±8","(X)","(X)"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","21,235","±1,504","21,235","(X)","17,366","±1,385","17,366","(X)","26,877","±1,889","26,877","(X)","23,441","±1,383","23,441","(X)","15,541","±810","15,541","(X)","19,978","±1,220","19,978","(X)","65,033","±2,660","65,033","(X)","18,274","±1,555","18,274","(X)","43,068","±2,204","43,068","(X)","9,057","±857","9,057","(X)","27,976","±2,121","27,976","(X)","39,603","±2,282","39,603","(X)","106,822","±3,793","106,822","(X)","19,349","±1,368","19,349","(X)","16,861","±1,383","16,861","(X)","44,095","±1,755","44,095","(X)","167,061","±5,152","167,061","(X)","10,525","±942","10,525","(X)","16,121","±1,206","16,121","(X)","29,746","±1,845","29,746","(X)","28,732","±1,895","28,732","(X)","243,431","±5,386","243,431","(X)","50,541","±2,483","50,541","(X)","29,857","±1,947","29,857","(X)","29,942","±2,045","29,942","(X)","11,916","±915","11,916","(X)","14,752","±1,380","14,752","(X)","56,226","±2,570","56,226","(X)","221,305","±5,278","221,305","(X)"
"        Less than 20.0 percent","11,657","±1,535","54.9%","±6.0","9,459","±1,326","54.5%","±5.4","14,603","±1,353","54.3%","±3.8","12,360","±1,244","52.7%","±4.1","8,910","±940","57.3%","±5.6","11,366","±1,105","56.9%","±4.5","32,546","±2,156","50.0%","±2.7","8,865","±1,137","48.5%","±6.3","23,298","±1,848","54.1%","±3.3","4,802","±558","53.0%","±5.0","14,632","±1,501","52.3%","±4.5","22,469","±1,644","56.7%","±3.2","62,005","±3,354","58.0%","±2.5","10,390","±1,021","53.7%","±4.4","8,868","±1,250","52.6%","±5.8","23,865","±1,560","54.1%","±3.1","85,247","±4,188","51.0%","±1.9","5,682","±764","54.0%","±6.1","9,644","±1,122","59.8%","±4.9","17,415","±1,823","58.5%","±4.7","16,112","±1,832","56.1%","±4.7","136,776","±4,430","56.2%","±1.5","28,679","±2,080","56.7%","±3.2","16,772","±1,511","56.2%","±4.4","15,458","±1,494","51.6%","±4.1","6,542","±810","54.9%","±5.7","7,639","±1,268","51.8%","±6.6","31,397","±2,026","55.8%","±2.9","111,553","±4,222","50.4%","±1.4"
"        20.0 to 24.9 percent","4,213","±1,064","19.8%","±4.7","2,906","±761","16.7%","±4.6","2,904","±699","10.8%","±2.5","3,475","±722","14.8%","±3.1","2,357","±576","15.2%","±3.7","2,870","±709","14.4%","±3.3","10,598","±1,354","16.3%","±2.0","3,374","±952","18.5%","±4.7","5,980","±956","13.9%","±2.2","1,389","±373","15.3%","±3.6","4,715","±1,072","16.9%","±3.7","6,700","±1,236","16.9%","±2.9","16,245","±1,903","15.2%","±1.8","3,018","±734","15.6%","±3.3","2,576","±638","15.3%","±3.6","6,284","±946","14.3%","±2.1","27,601","±2,387","16.5%","±1.3","1,770","±586","16.8%","±5.1","2,179","±693","13.5%","±4.2","4,756","±1,015","16.0%","±3.2","4,455","±931","15.5%","±3.2","34,599","±2,203","14.2%","±0.9","6,291","±1,115","12.4%","±2.1","4,214","±948","14.1%","±3.0","4,677","±957","15.6%","±2.8","2,223","±627","18.7%","±4.8","2,303","±659","15.6%","±4.3","8,602","±1,208","15.3%","±2.0","32,601","±2,796","14.7%","±1.2"
"        25.0 to 29.9 percent","1,314","±541","6.2%","±2.5","1,731","±702","10.0%","±3.9","2,487","±696","9.3%","±2.5","1,625","±515","6.9%","±2.2","1,670","±586","10.7%","±3.6","2,121","±547","10.6%","±2.7","7,333","±1,482","11.3%","±2.3","1,986","±650","10.9%","±3.3","4,363","±1,104","10.1%","±2.5","842","±234","9.3%","±2.5","3,837","±1,019","13.7%","±3.3","3,796","±897","9.6%","±2.2","9,883","±1,557","9.3%","±1.4","1,615","±509","8.3%","±2.6","1,481","±473","8.8%","±2.8","4,488","±843","10.2%","±1.9","14,026","±1,852","8.4%","±1.0","805","±249","7.6%","±2.2","1,500","±524","9.3%","±3.2","1,896","±601","6.4%","±2.0","2,258","±766","7.9%","±2.7","19,622","±1,991","8.1%","±0.8","5,006","±1,159","9.9%","±2.3","2,388","±775","8.0%","±2.5","3,192","±790","10.7%","±2.5","796","±294","6.7%","±2.4","1,897","±620","12.9%","±3.9","4,930","±989","8.8%","±1.6","22,067","±2,104","10.0%","±0.9"
"        30.0 to 34.9 percent","1,106","±452","5.2%","±2.1","984","±356","5.7%","±2.0","1,322","±455","4.9%","±1.7","1,282","±481","5.5%","±2.0","981","±418","6.3%","±2.7","1,177","±446","5.9%","±2.2","3,466","±864","5.3%","±1.3","1,353","±612","7.4%","±3.3","1,996","±574","4.6%","±1.3","434","±176","4.8%","±1.8","1,130","±469","4.0%","±1.7","2,482","±889","6.3%","±2.1","6,414","±1,306","6.0%","±1.2","1,386","±393","7.2%","±2.0","1,102","±534","6.5%","±3.1","2,764","±765","6.3%","±1.7","11,207","±2,007","6.7%","±1.2","637","±251","6.1%","±2.3","822","±350","5.1%","±2.1","1,067","±400","3.6%","±1.3","1,930","±570","6.7%","±1.9","13,312","±1,814","5.5%","±0.7","2,577","±795","5.1%","±1.6","1,830","±705","6.1%","±2.3","1,754","±640","5.9%","±2.0","489","±229","4.1%","±2.0","712","±374","4.8%","±2.5","3,008","±805","5.3%","±1.4","13,847","±1,624","6.3%","±0.7"
"        35.0 percent or more","2,945","±732","13.9%","±3.3","2,286","±623","13.2%","±3.4","5,561","±1,166","20.7%","±3.7","4,699","±938","20.0%","±3.8","1,623","±480","10.4%","±3.1","2,444","±576","12.2%","±2.7","11,090","±1,526","17.1%","±2.1","2,696","±932","14.8%","±4.7","7,431","±1,230","17.3%","±2.8","1,590","±448","17.6%","±4.5","3,662","±809","13.1%","±2.6","4,156","±753","10.5%","±1.9","12,275","±1,780","11.5%","±1.5","2,940","±754","15.2%","±3.7","2,834","±727","16.8%","±4.1","6,694","±1,140","15.2%","±2.4","28,980","±2,456","17.3%","±1.5","1,631","±438","15.5%","±4.1","1,976","±526","12.3%","±3.3","4,612","±997","15.5%","±3.4","3,977","±838","13.8%","±2.8","39,122","±2,942","16.1%","±1.1","7,988","±1,509","15.8%","±2.8","4,653","±1,013","15.6%","±3.2","4,861","±819","16.2%","±2.6","1,866","±459","15.7%","±3.7","2,201","±590","14.9%","±4.0","8,289","±1,323","14.7%","±2.3","41,237","±2,931","18.6%","±1.3"
"        Not computed","0","±175","(X)","(X)","181","±168","(X)","(X)","31","±52","(X)","(X)","111","±151","(X)","(X)","0","±175","(X)","(X)","15","±24","(X)","(X)","179","±248","(X)","(X)","66","±105","(X)","(X)","195","±224","(X)","(X)","95","±84","(X)","(X)","187","±180","(X)","(X)","361","±265","(X)","(X)","187","±186","(X)","(X)","59","±85","(X)","(X)","9","±15","(X)","(X)","63","±76","(X)","(X)","615","±311","(X)","(X)","27","±34","(X)","(X)","0","±175","(X)","(X)","78","±93","(X)","(X)","0","±175","(X)","(X)","337","±280","(X)","(X)","82","±135","(X)","(X)","100","±126","(X)","(X)","90","±104","(X)","(X)","0","±175","(X)","(X)","19","±32","(X)","(X)","280","±409","(X)","(X)","948","±547","(X)","(X)"
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","13,711","±1,318","13,711","(X)","15,714","±1,211","15,714","(X)","18,564","±1,379","18,564","(X)","15,742","±1,315","15,742","(X)","9,503","±776","9,503","(X)","11,253","±1,079","11,253","(X)","52,011","±2,703","52,011","(X)","9,686","±1,115","9,686","(X)","25,348","±2,129","25,348","(X)","6,706","±700","6,706","(X)","17,219","±1,585","17,219","(X)","23,394","±1,749","23,394","(X)","63,751","±3,381","63,751","(X)","9,313","±1,041","9,313","(X)","11,901","±1,165","11,901","(X)","18,086","±1,434","18,086","(X)","92,157","±3,980","92,157","(X)","9,590","±1,002","9,590","(X)","11,547","±971","11,547","(X)","17,476","±1,423","17,476","(X)","20,174","±1,708","20,174","(X)","119,567","±3,705","119,567","(X)","28,793","±2,034","28,793","(X)","26,711","±1,757","26,711","(X)","20,130","±1,381","20,130","(X)","8,158","±940","8,158","(X)","8,765","±920","8,765","(X)","31,709","±1,998","31,709","(X)","204,430","±6,636","204,430","(X)"
"        Less than 10.0 percent","6,450","±993","47.0%","±5.5","7,150","±1,114","45.5%","±6.3","8,786","±1,127","47.3%","±5.2","6,398","±928","40.6%","±5.3","4,077","±608","42.9%","±5.6","5,617","±863","49.9%","±7.2","21,113","±1,778","40.6%","±2.6","5,185","±965","53.5%","±7.1","10,803","±1,301","42.6%","±4.2","2,967","±549","44.2%","±6.4","8,245","±1,339","47.9%","±5.9","12,171","±1,503","52.0%","±4.9","33,549","±2,716","52.6%","±2.8","4,485","±845","48.2%","±6.7","4,750","±749","39.9%","±6.3","9,545","±1,226","52.8%","±4.7","39,191","±2,557","42.5%","±2.4","4,312","±676","45.0%","±6.4","5,223","±873","45.2%","±6.3","8,174","±1,172","46.8%","±5.3","8,129","±1,252","40.3%","±5.3","56,545","±2,823","47.3%","±1.9","14,935","±1,817","51.9%","±4.5","10,649","±1,050","39.9%","±4.0","9,751","±954","48.4%","±4.0","3,919","±715","48.0%","±6.9","4,125","±824","47.1%","±6.9","14,594","±1,637","46.0%","±3.6","82,594","±4,321","40.4%","±1.6"
"        10.0 to 14.9 percent","2,594","±580","18.9%","±4.0","3,190","±694","20.3%","±4.3","3,245","±680","17.5%","±3.4","3,292","±663","20.9%","±3.8","1,926","±463","20.3%","±4.6","1,978","±502","17.6%","±4.2","10,502","±1,487","20.2%","±2.7","2,068","±554","21.4%","±5.5","5,265","±977","20.8%","±3.4","1,553","±353","23.2%","±5.6","2,977","±653","17.3%","±3.5","4,712","±951","20.1%","±4.1","11,702","±1,481","18.4%","±2.3","2,033","±505","21.8%","±5.3","3,454","±971","29.0%","±6.5","2,667","±594","14.7%","±3.1","17,131","±1,872","18.6%","±1.9","2,458","±580","25.6%","±5.7","2,705","±665","23.4%","±5.5","3,827","±675","21.9%","±3.6","3,941","±942","19.5%","±4.4","22,769","±2,065","19.0%","±1.6","5,382","±967","18.7%","±3.5","6,296","±1,055","23.6%","±3.6","3,861","±748","19.2%","±3.1","1,960","±541","24.0%","±5.8","1,555","±461","17.7%","±5.0","7,300","±1,095","23.0%","±3.2","40,646","±2,970","19.9%","±1.5"
"        15.0 to 19.9 percent","1,702","±525","12.4%","±3.6","1,648","±591","10.5%","±3.7","2,408","±609","13.0%","±3.1","2,442","±679","15.5%","±4.1","1,008","±367","10.6%","±3.8","1,458","±707","13.0%","±5.9","6,182","±1,059","11.9%","±2.0","666","±332","6.9%","±3.4","3,396","±983","13.4%","±3.6","618","±243","9.2%","±3.5","1,829","±642","10.6%","±3.5","2,879","±716","12.3%","±2.9","6,514","±1,061","10.2%","±1.6","783","±349","8.4%","±3.6","1,561","±522","13.1%","±4.4","1,690","±509","9.3%","±2.9","11,971","±1,593","13.0%","±1.7","1,328","±496","13.8%","±4.7","1,660","±526","14.4%","±4.4","1,320","±515","7.6%","±2.9","3,140","±951","15.6%","±4.3","12,329","±1,532","10.3%","±1.3","2,709","±890","9.4%","±3.1","3,792","±927","14.2%","±3.2","1,568","±469","7.8%","±2.3","736","±282","9.0%","±3.6","897","±307","10.2%","±3.8","3,254","±643","10.3%","±2.1","23,641","±2,654","11.6%","±1.2"
"        20.0 to 24.9 percent","873","±289","6.4%","±2.1","1,242","±550","7.9%","±3.3","1,054","±398","5.7%","±2.1","701","±344","4.5%","±2.1","857","±370","9.0%","±3.8","715","±408","6.4%","±3.4","3,778","±1,190","7.3%","±2.3","715","±399","7.4%","±4.0","2,076","±749","8.2%","±2.8","577","±376","8.6%","±5.3","1,095","±405","6.4%","±2.3","1,340","±456","5.7%","±1.9","3,809","±1,017","6.0%","±1.6","297","±146","3.2%","±1.6","629","±307","5.3%","±2.5","1,735","±576","9.6%","±3.0","6,463","±1,131","7.0%","±1.2","270","±155","2.8%","±1.7","578","±267","5.0%","±2.3","1,026","±376","5.9%","±2.1","1,594","±661","7.9%","±3.3","7,467","±1,306","6.2%","±1.1","2,246","±891","7.8%","±3.0","2,005","±692","7.5%","±2.5","1,607","±573","8.0%","±2.7","478","±279","5.9%","±3.3","648","±291","7.4%","±3.3","1,777","±447","5.6%","±1.3","16,416","±2,006","8.0%","±1.0"
"        25.0 to 29.9 percent","866","±613","6.3%","±4.4","788","±486","5.0%","±3.0","844","±397","4.5%","±2.2","849","±451","5.4%","±2.8","262","±222","2.8%","±2.3","156","±122","1.4%","±1.1","2,749","±770","5.3%","±1.5","385","±216","4.0%","±2.2","680","±322","2.7%","±1.3","391","±222","5.8%","±3.2","988","±495","5.7%","±2.8","699","±479","3.0%","±2.0","2,219","±728","3.5%","±1.1","309","±276","3.3%","±3.0","424","±222","3.6%","±1.9","640","±282","3.5%","±1.6","5,231","±1,260","5.7%","±1.3","460","±334","4.8%","±3.4","210","±169","1.8%","±1.5","1,356","±657","7.8%","±3.6","337","±218","1.7%","±1.1","5,339","±1,074","4.5%","±0.9","709","±299","2.5%","±1.1","901","±304","3.4%","±1.1","787","±357","3.9%","±1.7","143","±113","1.8%","±1.3","407","±234","4.6%","±2.6","792","±340","2.5%","±1.1","10,026","±1,633","4.9%","±0.8"
"        30.0 to 34.9 percent","207","±187","1.5%","±1.4","313","±231","2.0%","±1.5","384","±162","2.1%","±0.9","648","±334","4.1%","±2.1","354","±272","3.7%","±2.8","181","±254","1.6%","±2.2","2,062","±828","4.0%","±1.6","244","±230","2.5%","±2.3","910","±537","3.6%","±2.1","169","±114","2.5%","±1.7","220","±198","1.3%","±1.2","429","±218","1.8%","±0.9","1,548","±550","2.4%","±0.9","239","±148","2.6%","±1.6","90","±82","0.8%","±0.7","334","±207","1.8%","±1.1","3,460","±1,017","3.8%","±1.1","87","±92","0.9%","±1.0","71","±73","0.6%","±0.6","561","±383","3.2%","±2.2","216","±164","1.1%","±0.8","2,912","±638","2.4%","±0.5","429","±261","1.5%","±0.9","979","±430","3.7%","±1.6","518","±274","2.6%","±1.3","221","±260","2.7%","±3.2","280","±218","3.2%","±2.4","754","±324","2.4%","±1.0","6,080","±1,296","3.0%","±0.6"
"        35.0 percent or more","1,019","±361","7.4%","±2.5","1,383","±687","8.8%","±4.3","1,843","±652","9.9%","±3.3","1,412","±559","9.0%","±3.4","1,019","±455","10.7%","±4.7","1,148","±435","10.2%","±4.0","5,625","±1,211","10.8%","±2.1","423","±306","4.4%","±3.2","2,218","±785","8.8%","±3.1","431","±212","6.4%","±3.1","1,865","±587","10.8%","±3.5","1,164","±408","5.0%","±1.7","4,410","±1,096","6.9%","±1.6","1,167","±498","12.5%","±4.9","993","±372","8.3%","±3.0","1,475","±429","8.2%","±2.4","8,710","±1,519","9.5%","±1.5","675","±374","7.0%","±3.7","1,100","±479","9.5%","±4.1","1,212","±470","6.9%","±2.6","2,817","±927","14.0%","±4.3","12,206","±1,721","10.2%","±1.4","2,383","±800","8.3%","±2.6","2,089","±742","7.8%","±2.6","2,038","±656","10.1%","±3.3","701","±275","8.6%","±3.2","853","±340","9.7%","±3.7","3,238","±697","10.2%","±2.1","25,027","±2,897","12.2%","±1.3"
"        Not computed","64","±68","(X)","(X)","70","±109","(X)","(X)","229","±245","(X)","(X)","114","±101","(X)","(X)","99","±147","(X)","(X)","89","±99","(X)","(X)","1,223","±568","(X)","(X)","15","±24","(X)","(X)","171","±179","(X)","(X)","24","±44","(X)","(X)","206","±215","(X)","(X)","233","±181","(X)","(X)","340","±229","(X)","(X)","34","±40","(X)","(X)","77","±81","(X)","(X)","264","±195","(X)","(X)","960","±350","(X)","(X)","0","±175","(X)","(X)","222","±180","(X)","(X)","213","±253","(X)","(X)","173","±114","(X)","(X)","981","±393","(X)","(X)","37","±62","(X)","(X)","312","±224","(X)","(X)","406","±288","(X)","(X)","14","±26","(X)","(X)","129","±150","(X)","(X)","317","±236","(X)","(X)","4,237","±1,255","(X)","(X)"
"GROSS RENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied units paying rent","N","N","N","N","11,065","±1,264","11,065","(X)","15,195","±1,893","15,195","(X)","13,777","±1,507","13,777","(X)","N","N","N","N","12,770","±1,421","12,770","(X)","48,466","±3,078","48,466","(X)","N","N","N","N","45,039","±2,393","45,039","(X)","8,141","±803","8,141","(X)","14,607","±1,655","14,607","(X)","38,475","±2,266","38,475","(X)","72,087","±3,752","72,087","(X)","N","N","N","N","9,184","±1,287","9,184","(X)","N","N","N","N","86,890","±4,080","86,890","(X)","7,485","±1,209","7,485","(X)","N","N","N","N","12,948","±1,701","12,948","(X)","16,171","±1,620","16,171","(X)","140,194","±5,346","140,194","(X)","23,468","±1,919","23,468","(X)","20,973","±2,055","20,973","(X)","12,375","±1,322","12,375","(X)","N","N","N","N","6,821","±1,385","6,821","(X)","52,306","±2,841","52,306","(X)","245,995","±6,821","245,995","(X)"
"        Less than $500","N","N","N","N","2,691","±1,017","24.3%","±9.1","2,949","±938","19.4%","±5.7","1,324","±380","9.6%","±2.6","N","N","N","N","1,466","±743","11.5%","±5.4","6,467","±1,439","13.3%","±2.7","N","N","N","N","3,362","±900","7.5%","±2.0","1,628","±467","20.0%","±5.7","1,874","±749","12.8%","±5.1","5,398","±1,244","14.0%","±3.2","5,280","±1,166","7.3%","±1.6","N","N","N","N","1,332","±519","14.5%","±5.0","N","N","N","N","4,788","±1,035","5.5%","±1.1","1,406","±617","18.8%","±6.9","N","N","N","N","2,103","±755","16.2%","±5.3","2,145","±598","13.3%","±3.7","10,103","±1,651","7.2%","±1.1","1,476","±591","6.3%","±2.5","4,349","±1,202","20.7%","±5.1","1,599","±550","12.9%","±4.6","N","N","N","N","1,611","±663","23.6%","±9.0","3,308","±861","6.3%","±1.6","26,959","±2,509","11.0%","±1.0"
"        $500 to $999","N","N","N","N","6,134","±1,176","55.4%","±8.5","8,989","±1,814","59.2%","±7.1","9,412","±1,226","68.3%","±4.6","N","N","N","N","7,326","±959","57.4%","±5.6","31,913","±2,839","65.8%","±3.4","N","N","N","N","25,815","±2,280","57.3%","±4.1","4,917","±772","60.4%","±7.6","9,876","±1,515","67.6%","±7.4","22,290","±2,383","57.9%","±5.3","33,578","±2,899","46.6%","±3.6","N","N","N","N","6,008","±1,008","65.4%","±8.6","N","N","N","N","41,875","±3,068","48.2%","±3.0","4,758","±881","63.6%","±7.8","N","N","N","N","7,117","±1,368","55.0%","±8.8","11,394","±1,431","70.5%","±5.4","45,544","±3,260","32.5%","±1.9","11,685","±1,836","49.8%","±6.1","13,816","±1,771","65.9%","±5.8","7,866","±1,228","63.6%","±6.9","N","N","N","N","3,961","±1,072","58.1%","±10.6","14,668","±1,884","28.0%","±3.2","125,626","±5,446","51.1%","±1.7"
"        $1,000 to $1,499","N","N","N","N","2,183","±753","19.7%","±6.1","2,955","±740","19.4%","±5.3","2,594","±641","18.8%","±3.9","N","N","N","N","3,259","±773","25.5%","±5.6","8,468","±1,373","17.5%","±3.0","N","N","N","N","13,007","±1,851","28.9%","±3.8","1,220","±477","15.0%","±5.5","2,552","±949","17.5%","±5.9","9,182","±1,860","23.9%","±4.6","26,426","±2,911","36.7%","±3.2","N","N","N","N","1,844","±836","20.1%","±8.2","N","N","N","N","28,858","±2,774","33.2%","±2.7","825","±398","11.0%","±4.9","N","N","N","N","2,615","±767","20.2%","±5.6","2,213","±833","13.7%","±5.0","53,529","±3,826","38.2%","±2.4","7,834","±1,599","33.4%","±6.3","2,349","±687","11.2%","±3.3","2,646","±764","21.4%","±5.5","N","N","N","N","1,104","±635","16.2%","±8.5","22,317","±1,794","42.7%","±2.9","75,602","±4,642","30.7%","±1.6"
